title,abstract,id,grant_category,grant_offer,start_date,end_date,funder_name,lead_org,tech_abstract,potential_impact,status,social_science_themes
"Managing at Home in Times of Crisis: How Climate, COVID-19 and Cost of Living Crises Intersect in Everyday Life and What We Can Do About It","In recent years, households in the UK have been rocked by external shocks to our already delicate social system: the cost of living crisis, the climate crisis and COVID-19. These shocks have directly shaped the everyday lives of households: creating financial hardship, ill health and social isolation. They have also exposed our housing infrastructure as inadequate to withstand high temperatures, to reduce disease spread, to provide good indoor air quality, and to shelter people against the heat and cold in the context of high energy prices. People spend a substantial amount of their time in the home environment: up to 2/3 of their life, and as such its effect on health and wellbeing is critical.
We find that the ways in which households respond to these crises can have unintended or contradictory consequences for their environment and/or their health. For example, some strategies to mitigate high energy costs can create poor indoor environments with long lasting health effects. Despite the focus on outdoor air quality, it is increasingly clear that indoor air pollution has been largely ignored until recently. Indoor air quality includes damp and mould both of which are significant issues in less affluent and underheated homes.
This PhD project takes an interdisciplinary whole systems approach to addressing these problems, drawing on the combined expertise of the supervisory team, and supporting the student to think across disciplinary boundaries. The home and everyday life is at the centre of the project, and we expect the candidate to use this as a space in which to explore how these intersecting crises are managed and experienced. The empirical focus will be on diverse range of low-income households in the UK, with an emphasis on understanding the engineering design of homes, how people manage their home environment in different ways, and what knock-on effects technologies, practices and regulations have on their health and wellbeing. 
We will encourage the candidate to identify exacerbating effects (e.g. mould growth as a result of lack of ventilation due to attempts to keep warm) and virtuous circles (e.g. access to cool temperatures in hot weather and their impact on health). They will develop an understanding of the outcomes of different kinds of household management, and the socio-demographic patterns with which these occur. For instance, we know that practices associated with cooking have an impact on internal air quality, and that different households cook very differently, according to lifestage, ethnicity and other factors. Alongside these social aspects, the project will look at the physical environment characteristics including the building design, heating and ventilation systems and how this affects both energy use and indoor air quality parameters. 
We expect to draw on a range of primary and secondary data in this study. This will include data on building types, construction and engineering systems; indoor air quality over time in specific buildings; external air quality in the urban domain under study; qualitative data on lived experience of Fuel Poverty; and quantitative demographic data on specific neighbourhoods (available through the census, and index of multiple deprivation). 
As an impact-driven outcome to the project, we will expect the candidate to draft policy recommendations for guidance on effectively managing a range of home environments for health and wellbeing. We also can offer the opportunity to work more closely with a range of stakeholders interested in the outcomes of the project throughout, including Leeds City Council, housing associations and UKHSA. Finally, our international partners at the Danish Building Research Institute, Aalborg University, which includes a leading group of interdisciplinary academics working on buildings and resident practices, are keen to host an institutional visit for the candidate.",B69D7EAF-3C54-40CC-8713-0B4E9C484264,Studentship,,,,EPSRC,,,,Active,housing/damp/mould; policy/governance
"Revealing new insights into MDR evolution, ecology and transmission across human, animal and environmental microbiomes","Antimicrobial resistance (AMR) a growing global crisis, posing a significant threat to human and animal health. Approximately one million deaths a year are directly attributed to drug-resistant bacterial infections with a further four million deaths associated with resistant infections every year. To address this challenge, we are excited to announce our ground breaking research project aimed at understanding and addressing the complex drivers of multi-drug resistance (MDR) across the One Health continuum.

AMR is the process by which microorganisms such as bacteria and fungi adapt to survive and flourish in the presence of drugs used to treat infections. Bacteria can become resistant through random changes in their DNA (mutation) which enables their survival during antibiotic treatment. Of more concern is the fact that they can acquire foreign pieces of DNA (genes) through a process known as horizontal gene transfer, which allow bacteria to acquire resistance to multiple antibiotics in one step. 

AMR is not new, it has evolved in microbial populations in the environment over millions or billions of years to counteract antimicrobials naturally produced by fungi and bacteria, and these resistance mechanisms can move from harmless environmental bacteria to human pathogens. Globally, more antibiotics are used in intensive livestock farming than in clinical medicine and there is a strong association between antibiotic use in farming and resistance in animal gut microbiomes. This link between AMR in humans, animals and the environment has led to ideas around One Health, which acknowledges that to understand human health a broader consideration of animal and environmental systems is necessary. Although we know there is an association between AMR across One Health sectors, the relative importance of bacteria living in the environmental and livestock (ie. their microbiomes) and their role in emergence of resistance in human pathogens is poorly understood. Much like COVID-19 emerged from a wildlife reservoir, there are vast AMR reservoirs in animal and environmental microbiomes, and we need to understand the process that amplify these and lead to emergence in human pathogens.

We will apply new state of the art computational analyses to DNA sequence data from human, animal and environmental microbiomes in the UK and China, to determine which resistance mechanisms are actively evolving in different settings. This will be combined with novel machine learning and computational approaches to predict MDR in pathogens and bacterial populations allowing drivers of resistance to be quantified. We will use experimental evolution models to determine causal relationships between antibiotic use and development of resistance, including hypothesis testing informed by our analyses and replicating antibiotic use in clinical medicine, livestock production and antibiotic residues introduced to the environment by pollution. This data will be used to develop a new risk assessment framework, that for the first time will include data on evolutionary dynamics of resistance genes across One Health microbiomes. Our novel approach will be tested in a proof of principle case study on human wastewater microbiomes in the UK and China allowing socio-economic, demographic, genetic, evolutionary and environmental drivers to be considered simultaneously. We will also develop low-cost diagnostic tools for detection of key MDR markers. Outputs will be communicated at national and supranational level through the unrivalled networks of team members in China, the UK and organisations such as the WHO and UN.",B49890DE-76D2-4020-B34F-433191D1CFD5,Research Grant,,,,ISPF,,"This research project aims to address the pressing issue of multi-drug resistance (MDR) and enhance our understanding of its intricate drivers across the One Health continuum. By employing state-of-the-art methodologies, including -omics, bioinformatics, and machine learning, we will investigate the processes that amplify MDR in human, animal, and environmental microbiomes. 

We will investigate gene-level selective pressure associated with resistance in One Health microbiomes and pathogen pangenomes using adaptive variation analysis (pN/pS) of contigs, metagenome assembled genomes (MAGs) and pathogen pangenomes to generate an understanding of &quot;active&quot; selection pressure that can be incorporated into statistical analyses, models and risk frameworks. Novel machine learning approaches to predict AMR phenotype from genotype will be expanded beyond clinical settings to environmental microbiomes giving further insights into AMR carriage versus AMR usage. We will also study MDR specifically through gene association and disassociation in clinically important bacterial isolates, MAGs and pangenomes.

This data will be used to generate a risk assessment framework incorporating selection, phenotypic and co-occurrence data. Our combined approach will be tested in a proof of principle case study using wastewater-based epidemiology combined with multiple layers of socio-economic, prescribing, genetic, evolutionary and environmental data to elucidate AMR in human populations and quantify selection within waste-water treatment systems which is a global topic of concern. Unique markers of MDR identified will inform low-cost diagnostic tools developed to inform interventions.

Our overarching aim is to quantify the probability of selection and MDR evolution in One Health domains developing a systems level understanding of evolution and spread of antimicrobial resistance (AMR), that can ultimately inform complex AMR model development analogous to current climate models.",,Active,social science/sociology
Cohort for research into Living EnVironments and hEalth in childRen: CLEVER,"What is this project about?
We are setting up a new data resource called CLEVER (Cohort for research into Living EnVironments and hEalth in childRen: CLEVER) to allow researchers to study the link between environments in and around schools and homes, and children's health and education. 

Why are we doing this project?
Children are much more vulnerable to health-damaging features of the environment in and around their homes and schools than adults. Many children in England also lack access to services and infrastructure where they live and go to school. Being exposed to such things as outdoor air pollution, overcrowding, mould in the home, fast food advertising near schools, or having no access to greenspace during childhood is associated with the development of long-term conditions such as asthma, poor mental health, obesity and worse educational attainment. The Government is introducing a number of measures to improve environments and make housing safer. We need better data to understand how the local environment influences the health and education of children, and decide whether environmental policies introduced by the Government are improving children's wellbeing and school results. 

How are we going to do it? 
We will establish CLEVER, a national database containing data from schools, hospitals and community pharmacies on health and education histories for all children born in England from 2006 onwards, around 11 million children. Data for children will be linked to information about their mothers' health during pregnancy. We will combine the health and education data in CLEVER with data on local environments in and around children's homes and schools. This will allow researchers to carry out studies of how factors such as living near busy roads, growing up in an overcrowded house, or having access to parks and local services influence children's health and schooling from birth to teen age. To show how CLEVER data can be used, we will carry out a study to look at whether living or going to school near greenspace (such as public parks or gardens) helps teenagers' mental health, and whether living in areas with good childcare provision is related to how well children do at school. All data will be kept on secure servers and linked using methods that protect the identities of mothers and children. Ultimately, research based on CLEVER data will inform government departments and local councils, as well as the public at large, about how well their housing, environmental and planning policies are working to improve children's lives.",DD4352EE-E387-41B3-95A2-2381817C3634,Research Grant,,,,ESRC,,,,Active,housing/damp/mould
The re-enchantment of antiquity and romance revival in British literature and culture 1870-1914.,"There has been significant exploration of both nineteenth century romance revival, fairytale and folklore, and reception studies exploring the centrality of classical knowledge to Victorian writing. However, no extensive study has brought together classical reception, the history of archaeology, and literary and book history, to argue that there was a concerted effort to 're-enchant' classical antiquity in the mould of the 'faerie-esque'.

I explore 're-enchantment' as a restoration of an impression of wonder to perceptions of antiquity following a destabilisation of the neoclassical ideal by the excavation of ancient cities. I argue that the classical was romanticised in a dialectic encapsulating an enchanting 'mythic-ness' appealing to the vogue for the 'faerie-esque' (the preoccupation of writers and artists with fairytales and folklore, often bound up with medieval revival) while remaining redolent of the classical tradition. I make a case-study of the motifs of Pegasus, Perseus and Bellerophon by comparing anthologies of fairytale and folklore with those of ancient myth, alongside contemporary Victorian authors writing in the romance tradition, in periodical literature, and accompanying works of art and illustration. I examine romance revival in the Victorian literary tradition, but also argue that early modernist writers were heavily influenced by romantic conceptions of antiquity, showing how the early works of modernists were often 'romantic' rather than strictly 'modernist', and that the legacy of this literary upbringing often underlies the modernist text. 

Borrowing methodology from book history, I argue that the relationship between written and visual aspects of literature is key in formulating the dialectic between 'faerie-esque' and 'classical'. Illustrative matter combines the authority of the classical tradition with the enchanting space of the 'faerie-esque', and that a preoccupation with rich, visual aspects of literature corresponds to heightened interest in the material remains of ancient cultures. I suggest that certain visual symbols, such as that of Pegasus, come to act as a marker of literary quality associated with the romantic. This questions the paradoxical underlining of English Literature by 'foreign' ancient symbols, and the dialogue between 'English' and 'world literature'. Lack of work on the interplay between visual and textual in these contexts of excavation and the 'faerie-esque' revival has left gaps in scholarly appreciation of how both modern English Literature and Classics defined themselves against alternative historical models of 'literature', and notions of 'native' and 'foreign'. 

I aim to show how this dialectic plays a critical role in the formulation of nineteenth century national identities and the relationship between 'English' and 'world' literature, to move away from a one-dimensional view of literature and provide insight into how reception creates a multi-layered, nuanced view of identity and genre, whereby genre and content overlap to create new meanings. Pragmatically, I also hope to provide greater insight into how the materiality of text shapes meaning, and work closely with heritage organisations and bookshops to promote the study of different forms and editions of texts and raise awareness of the importance of different sources for texts, from second-hand bookshops to libraries and archives.",0569515F-2FD9-4721-9ADA-116CF855CB25,Studentship,,,,AHRC,,,,Active,arts/humanities
Transforming Housing and Homes for Future Generations,"The housing sector is responsible for around 20% of the country's total carbon emissions and with 80% of the homes that will be occupied in 2050 already built, retrofitting the country's existing housing stock to improve energy efficiency, and reduce carbon emissions, is critical to achieving the UK's net-zero targets. Retrofitting existing houses is an infrastructure priority for the UK Government; it is also a significant design challenge. Changes in housing fabric are essential to ensure that new low carbon heating and cooling solutions work effectively. Poorly executed retrofit measures can lead to unintended negative consequences, including increased problems with damp and mould, and reduced indoor air quality (affecting human health). Poor design can also cause damage to building fabric and cultural heritage. Current retrofitting approaches also rely heavily on synthetic and non-renewable materials, such as plastics and foam insulation, which can have negative environmental impacts. In some cases, the embodied carbon emissions of retrofitting measures can even exceed the carbon savings from reduced energy use.

Using bio-based and non-extractive materials in retrofitting offer promising alternatives, but currently occupy a small market share. Bio-based materials are derived from renewable resources, such as crops, mycelium, cork and wood, and have the potential to significantly reduce carbon emissions and environmental impact. Non-extractive materials are derived from a supply chain based on circular reuse and recycling of waste. Plant based materials, including timber, absorb atmospheric CO2 through photosynthesis, forming a 'biogenic carbon store'. As well as environmental benefits, bio-based products and systems offer energy efficient, healthy, and sustainable improvements to existing homes. However, despite their comparatively lower embodied carbon, the use of bio-based materials, compared to a number of other European countries, remains under-utilised in the UK.

Our project, the Transforming Housing and Homes for Future Generations Green Transition Ecosystem (GTE), will lead innovation through co-design, in a regional partnership between the GW4 universities (Bath, Cardiff, Bristol, and Exeter) and businesses, local authorities, and council-built estates and community groups. We will work with householders, community groups, local authorities, social landlords, the construction industry, and other key stakeholders, to co-create a green transformation. Centred on a process of design research, through transdisciplinary working, cross-sectoral and community participation, we will design, test, implement and monitor innovative prototype solutions to improve the quality of energy inefficient low-rise council-built housing. We will also seek to create a legacy of positive behaviour change, supporting job creation, local and regional supply chains, and strengthen local delivery capacities. We will create design proposals for Beyond Net Zero liveable homes through remodelling housing built by councils between 1920-1940, which account for approximately 1.1 million of the homes still in use in the UK today.

We will work with two communities in Bristol and Swansea to develop and demonstrate possible solutions. Our design led process will include co-design, digital modelling, prototyping, and testing of alternative options. Our solutions will create delight through improving spatial quality, well-being, affordability and ease of construction. Our design research will also promote the transition to living well through co-design methodologies enabling positive behaviour change including attitudes towards natural materials and sustainable living, fostering diversity, and supporting green transition goals. Through educational and wider community engagement, in partnership with our communities and the Future Observatory, we will also further retrofitting design skills.",D2E56A9C-D9AE-4523-8001-51A6A953FB6B,Research Grant,,,,AHRC,,,,Active,arts/humanities; housing/damp/mould
"'Chemists to the Nation, Pharmacy to the World': Exploring the Global Dimensions of British Healthcare and Beauty with Boots the Chemists, 1919-1980","This project will explore the largely unknown international history of British healthcare and beauty, using Boots the Chemists, Britain's most recognised chain pharmacist, as the central case study. The project spans the period from 1919, when the company posted its first sales agent overseas, to the streamlining of its divisions in 1980. It examines how Boots established itself as a prospector, retailer and manufacturer overseas, but also how it continually absorbed international influences as part of its home marketing strategies. Drawing on Boots' vast, underexplored archive (c.5,000 boxes of approximately 500,000 items), this project bridges medical, social, cultural, business, colonial and transnational history. The project team are not interested in writing a classic business biography of Boots' success and growth, rather they are interested in exploring what the Boots story reveals about the international dynamics of the British health and beauty industries. The central research question asks: How does Boots' international archive allow us to map the global networks that moulded and sustained British experiences of healthcare and beauty both at home and abroad? To answer this, thematically focused work packages will recreate the life-cycles of key products within six product domains (pain management, personal hygiene, surgical supplies, vitamins, perfumes, and skincare) across local, national and international spaces. These six focal areas have been selected because of their ample archival resources and their potential to illustrate how complex imperial and other global networks of materials, knowledge and people underpinned the development of British healthcare and beauty, both at home and overseas.

This pioneering research will appear in leading academic journals across the historical humanities and in a co-authored book. It will advance early career capacity by employing a full-time postdoctoral researcher, and provide additional opportunities for an already funded M4C doctoral student. Three interdisciplinary academic workshops will explore new perspectives on the internationalisation of the UK beauty and healthcare industries and will open the project to colleagues in geography, pharmacy, medicine, literature and linguistics.

The project team will showcase findings via an easily navigable website featuring information about the project, links to relevant resources and quarterly updated project stories, attractively illustrated with archival images. Some of these stories will be authored by the project team and some by 'citizen researchers'. These contributors will be identified through call outs via social media, Boots newsletters, and the local press, and might be local history enthusiasts, former Boots employees or business people reflecting on historical context. Additional outreach will include two pieces of popular history, a high-profile public exhibition, with a touring component and accompanying public talks, timed to coincide with Boots' 175th anniversary in 2024. A further outreach strategy targets professional archivists via three initiatives i) working with Boots Archive staff to help inform their cataloguing and digitisation strategies; ii) holding three innovative 'Archive Roadshows' where team members visit other significant business archives (Unilever, Marks and Spencer, John Lewis) to reflect on the usefulness and accessibility of their resources; iii) hosting an Archive Study Day to bring together company archivists throughout the UK. Finally, team members will work with Nottinghamshire County Council to run two 'Knowledge Labs' to consider how this research might stimulate creative thinking about current issues facing the UK high street. Sessions will discuss not only how local growth is internationally informed, but also how international markets are heavily influenced by smaller local developments.",68A32F82-0A06-4925-996C-69D935E88E49,Research Grant,,,,AHRC,,,"The research identifies three beneficiary groups in its impact strategy: 

1) the general public (reached via a website, a public exhibition with touring component, two popular history pieces):
During year one University of Nottingham Information Services, in collaboration with the project team, will build and launch an attractive project website. Simplicity will guide design, with archive-sourced visuals acting as portals to project information, a newsfeed of planned activities, and research stories. News stories will be regularly updated and announced via a linked Twitter account. To integrate the community into its local heritage, some stories will be authored, with project team support, by 'citizen researchers' (such as local history enthusiasts or former Boots employees or customers) recruited via callouts in social media, Boots newsletters, and the local press. 

A public exhibition, prominently showcased at the new Nottingham Central Library, and estimated to attract c.250,000 visitors during its four-month opening, will be rolled out to coincide with Boots' 175th anniversary. The exhibition, which has funding promised from Boots, will examine the international reach of, and international influences upon, this company in the development and reception of its beauty and healthcare provision. Three accompanying talks, pitched to non-specialists, will raise civic awareness about the international dimensions of this heritage story. A launch event for local dignitaries and media representatives, will be arranged to generate the widest possible publicity. After the exhibition, exhibition boards will tour three Nottinghamshire County Council libraries (Beeston, Arnold and Worksop) plus Nottingham Archives, with the team providing three more community focused educational talks for the council's library regeneration project.

Finally, two popular articles (The Conversation, History Today) will disseminate project findings to a wider public audience.

2) regional business leaders and economic development strategists (reached via two 'Knowledge Labs'):
In collaboration with Nottinghamshire County Council, two 'Knowledge Labs' in years two and three (on 'manufacture' and 'retail', respectively), will bring the project team together with councillors and local industry leaders to feed into discussions concerning economic development and urban regeneration. Each event will address a practical question of contemporary relevance and will begin with a presentation by the project team of their research before progressing to open discussion and workshop activities. The goal is two-fold: to create a novel networking opportunity between councillors, academics and business representatives; and to encourage creative discussions over the use of companies' local and global histories in tackling challenges facing UK manufacturing and high-street retail.

3) professional archival staff (reached via four Boots Archive Strategy Meetings, three Business Archive Roadshows and one Business Archive Study Day):
Annual meetings with Boots Archive staff will allow staff to dialogue with the project team. These meetings will help the team better understand the challenges and priorities that archivists face, as well as issues unique to corporate archives. This model will be extended to other major business archives via three innovative 'Archive Roadshows' at Unilever (Port Sunlight), Marks and Spencer (Leeds) and John Lewis (Cookham). In each case, the aim is to exchange experiences and to discuss the tensions around academic collaborations and public engagement within a corporate archival environment. The project will culminate in a Business Archive Study Day at Lakeside Arts, Nottingham, 2024. This event will bring together UK company archivists, librarians and conservators to share experiences of reaching, retaining and collaborating with academic researchers. Findings will be published in ARC, the archivists' professional trade magazine.",Active,arts/humanities; ethnography/cultural
Envisioning Vulnerability and Safety Otherwise: Artivist knowledge on gender-based violence in Mexico,"Mexico has one of the world's highest rates of gender-based violence (GBV). GBV in Mexico is shaped by complex and intersecting factors including human trafficking, the war on drugs, failures of the Mexican state, and the role of cartels, as well as cultural and social factors like the pervasiveness of machismo and patriarchal norms. In addition, like elsewhere, GBV itself is multifaceted and diverse in Mexico, shaped by intersecting axes of oppression such as gender (including trans*/cis status), age, race and ethnicity, sexuality, socio-economic status, and migration/(un)documented status.

Within this context, a vibrant and multifaceted feminist movement has surged in the last decade, demanding an end to this epidemic of GBV. The feminist movement in Mexico is characterised by its use of creative strategies, many of which fall into the category of 'artivism': the use of arts-based methods to pursue social movement goals. The actions carried out by artivist groups use culture to challenge cultural norms. Moreover, the process of creating, designing and executing these projects constitutes a form of collaborative feminist knowledge creation, through which activists use lived experience, feminist theory and activist strategies to create new understandings of what it means to achieve justice for survivors of gender-based violence.

This project uses participatory, arts-based research methods to build knowledge in collaboration with a diverse collection of artivists working against GBV. We do this in pursuit of two specific but interlocking aims. First, we will produce new insights into the diversity of experiences of GBV, and into everyday resistance strategies. This will include recognition of the specific vulnerabilities that anti-GBV activists experience in Mexico, where their work often puts them at risk of violence. Second, we will explore artivism's power to break the mould of dominant ways of thinking about GBV, and to imagine new possibilities for understanding and generating safety outside of the limiting criminal justice frameworks provided by the state.

We draw on two main methods: photovoice, and zine making, and the outputs we create will allow us to make significant contributions both within and beyond academia. Our academic outputs will make a significant contribution to scholarship on GBV and on the use of arts-based methods. Empirically, we will create knowledge about intersectionally-mediated experiences of everyday vulnerabilities to GBV in Mexico, and about how people navigate and resist these in order to maximise their safety. In addition, we will develop arguments about how we might think outside of conventional assumptions to imagine a world without GBV. Our contributions will be of interest to scholars of politics, social movement studies, gender studies, Latin American studies, and art studies.

On the impact side, we will co-produce a zine together with artivists that will communicate knowledge about vulnerability, safety, building a world without GBV, and artivism as method. Published in both Spanish and English, the zine will be targeted towards activists hoping to find new tools for their work, and towards NGOs and policymakers looking to improve responses to and efforts to end GBV. It will thus open space for different high-level conversations about the orientation of efforts to end GBV and the allocation of resources. It will be a powerful tool in promoting both South-South and South-North learning, particularly across other Latin American contexts but also further afield.",820E9881-0EB9-4174-BF6A-A45970E7577F,Research and Innovation,,,,AHRC,,,,Active,social science/sociology
HESTIA: Home Environment Solutions through Technology and Innovation for All,"What is this network about?
The HESTIA Network (Home Environment Solutions through Technology and Innovation for All) aims to create a new approach to home design and upgrades, integrating existing and emerging building technologies to make buildings healthy for all people, and for the environment by reducing carbon emissions.
Who are we?
HESTIA is a team of interdisciplinary researchers from leading UK universities, spanning engineering and architecture, environmental and atmospheric sciences, human health and the social sciences. We work closely with government and housing organisations that manage housing provision, regulation, and design, and with communities most affected by unhealthy homes to ensure that HESTIA helps to improve health for all.
Why focus on housing?
Many millions of homes in the UK are being built, and upgraded with a focus on improving energy efficiency to reduce carbon emissions. This is typically achieved through improving building thermal insulation and airtightness to prevent heat loss. However, minimal attention is paid at the moment to what this means for the health and wellbeing of the people living in them. Housing is a key factor that determines people's health because people spend more than two thirds of their time indoors at home, and current evidence suggests that deprived communities tend to suffer from poorer quality housing. While energy efficiency upgrades can improve health and reduce health inequalities through, for example, tackling the ongoing fuel poverty crisis, high levels of building thermal insulation and air tightness can worsen the quality of our indoor environments if not implemented properly. For example, they can increase exposure to harmful indoor air pollutants, damp and mould, and make indoor temperatures uncomfortable in the summer. In turn, this can worsen mental and physical health, and health inequalities.
Many new and established technologies are currently being installed into homes alongside building insulation to make them more energy efficient, such as smart meters that monitor energy use, and replacing gas boilers with heat pumps. At the same time, new technological devices such as low-cost air quality sensors and air cleaners are increasingly being used in homes to make them better for human health. The HESTIA Network will address how these technologies can work together to both improve environmental health through reducing carbon emissions while improving physical and mental health and reducing health inequalities.
What will the HESTIA network do?
The HESTIA Network will focus on:

Building community: We will build a community across academic disciplines, policy, industry, and the general public through a series of in person and online activities. We will share research, best practice, and lived-experience to create a forum to guide policy, practice, and research on housing to ensure health and equity are central considerations.
Developing research potential: Working with our full range of network members, we will roadmap research and innovation priorities, and fund feasibility studies to understand the role that different engineering interventions and technologies can play in home environments to improve human and environmental health for everyone.

Promoting future leaders: We will prioritise researchers in the early stage of their careers to develop future leaders who are equipped to work across different academic disciplines and sectors, as well as with the general public, to co-design and deliver housing solutions in an equitable way.",72543CFF-AA63-493C-94D9-D32869E6A59A,Unknown,,,,EPSRC,,,,Active,social science/sociology; housing/damp/mould; policy/governance; inequality/justice
Quantifying how host genotype and microbiome composition combine to influence susceptibility to Dothistroma needle blight disease in pine trees.,"A key challenge in plant disease research is to understand how the interactions between the plant host and its associated microbiome (the bacteria, fungi and viruses that exist within/on the plant) affect plant disease incidence and severity. These interactions are affected by genetic variation in the host, environmental conditions, and the variety microbes in the host's microbiome. For this project we focus on the pine tree disease Dothistroma needle blight (DNB), that detrimentally affects the growth and life span of pine species worldwide. As trees will also play a critical role in combatting our current biodiversity and climate crises, an understanding of the factors governing the arrival and spread of tree diseases, and how they impact tree health, are important policy strategies. Innovative research on tree health, as proposed in our project, will deliver to these strategies.
DNB is caused by Dothistroma septosporum, a UK listed quarantine fungus that is now found worldwide, where it affects more than 100 tree species including the commercial timber species Scots pine, Corsican pine and Lodgepole pine. DNB is a foliar disease affecting the pine needles that causes a variety of symptoms including premature needle loss. These symptoms result in reduced timber yields and can cause tree death. Currently the only treatment for DNB is tree stand management to reduce the favourable conditions for spread and the use of fungicides on nursery trees. 
In this project we will test our hypothesis that the genetics of the host tree drives microbiome composition and interactions of the pine needles to alter the trees susceptibility to DNB. To achieve this we will combine existing host genetic data from our established Scots pine tree trial with new nucleic acid sequencing information on the pine needle microbiome. We will use meta-genomic and meta-transcriptomic sequencing. Meta-genomic sequencing provides a microbe inventory (&quot;what is there?&quot;) and meta-transcriptomic sequencing tell us which community members are active (&quot;what are they doing?&quot;). We have three specific objectives 1) quantify the extent to which host genetic variation explains variation in microbial community composition and susceptibility to DNB, (2) evaluate temporal variation in microbiome composition and function during D. septosporum infection and (3) predict which microbiome community members interact with D. septosporum and which impact on host susceptibility to DNB.
Our proposal addresses key challenges within the BBSRC integrative microbiome research priority (1) relating host genotype to microbiome composition and health status, and (2) characterising functional properties of the microbiome and the genes driving the microbiome-host relationship. The benefits of this proposal are two-fold: (a) we will understand how host genetics and microbiome composition combine to influence susceptibility to DNB disease in pine trees and (b) we will develop publicly available methods to integrate multi-omics (metagenomics, meta-transcriptomics and genotyping) data which will be directly applicable to many different host-microbiome systems, from plants to humans. The project will benefit forest researchers with interests in tree disease management and agricultural researchers with interests in the effect of crop genetics on microbiomes and crop disease incidence and severity. The project will also benefit computational biologists and biologists integrating metagenomics, transcriptomics and genotyping datasets to answers diverse biological questions.",2F65F5B6-6092-494F-A183-D50832744ECA,Research Grant,,,,BBSRC,,"A key challenge in plant research is to understand how interactions between a plant host and its microbiome affect plant disease incidence and severity. These interactions are driven by genetic variation in the host, environmental conditions, and the dynamics of the microbial community, including the pathogens. Dissecting the relative importance of these components, ideally under controlled experimental conditions, can provide a major advance in understanding plant disease. We propose to use an integrative microbiome approach and focus on Dothistroma septosporum, the pathogen causing Dothistroma needle blight (DNB) in pine trees. However, the methods are applicable to diverse plant host-pathogen systems. DNB is a disease that detrimentally affects &gt;100 economically and environmentally important pine species worldwide. By quantifying a host tree's genetic variation, disease incidence and their microbiome in concert, this project will enable a step change in our understanding of the host-microbiome-pathogen interaction. Our hypothesis is that, in a given environment, host genotype drives foliar microbiome composition and interactions to alter host susceptibility to DNB. To test this hypothesis we will 1) quantify the extent to which host genetic variation explains variation in microbial community composition and susceptibility to DNB, (2) evaluate temporal variation in microbiome composition and function during D. septosporum infection and (3) predict which microbiome community members interact with D. septosporum and which impact on host susceptibility to DNB. We will integrate existing host genotype data from our established common environment progeny-provenance trial for Scots pine with new amplicon and RNA sequencing data. We will apply association genetic analysis and Bayesian network modelling. Our project addresses key challenges within the BBSRC integrative microbiome research priority.",,Active,policy/governance
Co-designing Forests,"This research project is a collaboration between Forestry England and design-researcher Liam Healy (based at Goldsmiths, University of London), that will work in conversation with those who visit and dwell in forests to design forms of access to them. We will explore how the design of paths and trails might be harnessed to contribute to woodland health, sustainability and expansion. We see the fun and joyous experiences of being, playing, and moving through the woods as an excellent opportunity to bring diverse groups into conversations and actions around the future of forests. 

Spending time in and providing access to woodlands is increasingly recognised as important for physical and mental human wellbeing, but this needs to be done carefully to protect and maintain those natural places; we need to tread lightly. Since the COVID-19 pandemic Forestry England have found that visits to their woodlands have dramatically increased, and in some cases, this has brought about conflicts and new challenges. At the same time, expanding forests and woodlands has become an increasingly important means for addressing the climate emergency, and in the UK tree planting has become a key governmental policy. However, researchers have pointed out the importance of involving local communities in the process of woodland creation, planning and planting to ensure the long-term support, sustainability and care of trees. This research will investigate the ways these two factors might be harnessed so that increasing interest in access to forests can contribute to re-foresting and forest health, produce more resilient and culturally rich environments, and at the same time improve the health of visitors and forest dwellers. 

The research will work with local communities to design alternative forms of paths and trails that work with the health and expansion of woodlands in mind. We aim to make paths that contribute to the forest instead of destroying it by thinking about how different materials, route design, features and planting can improve and work with the environment. 

We will do this by running a series of design workshops over the course of three years in sites around the Southwest of England, that local communities are warmly invited to participate in alongside stakeholders and decision makers. The workshops will involve a broad cross section of woodland communities, including walkers, foresters, trees, conservation groups, cyclists, animals, horse-riders, landowners, fungi, and plants (what we call more-than-human forest communities). In these workshops we will imagine different possible futures for the UK's forests, and look for ways to make them more culturally rich, bio-diverse, and inclusive (to both humans and non-humans). We will work with several design methods during these sessions, including speculative and participatory design, sketching and prototyping, as well as working on the ground to build new trails and features with nature in mind. 

By the end of the project, we will have worked with several local communities and forestry experts to dream up, design, and prototype a series of trails and features, observed and evaluated how they get used, published our findings in various conferences, and reported our results back to the local communities through a series of inclusive exhibitions.",BDD4A8AF-29C8-41AD-9652-E78597116D72,Research Grant,,,,AHRC,,,,Active,anthropocene/multispecies; policy/governance
